Hello	UH	hello
.	SENT	.
I	PP	I
do	VBP	do
n't	RB	n't
really	RB	really
post	VB	post
but	CC	but
I	PP	I
thought	VBD	think
it	PP	it
would	MD	would
do	VB	do
me	PP	me
some	DT	some
good	JJ	good
.	SENT	.
Like	IN	like
many	JJ	many
of	IN	of
you	PP	you
,	,	,
I	PP	I
have	VBP	have
have	VBP	have
never	RB	never
been	VBN	be
in	IN	in
a	DT	a
relationship	NN	relationship
and	CC	and
often	RB	often
spend	VB	spend
my	PP$	my
days	NNS	day
all	RB	all
by	IN	by
myself	PP	myself
at	IN	at
home	NN	home
in	IN	in
my	PP$	my
tiny	JJ	tiny
closet	NN	closet
of	IN	of
an	DT	an
apartment	NN	apartment
or	CC	or
working	VBG	work
nights	NNS	night
,	,	,
by	IN	by
myself	PP	myself
.	SENT	.
This	DT	this
year	NN	year
after	IN	after
working	VBG	work
over	IN	over
100	CD	@card@
hours	NNS	hour
over	IN	over
the	DT	the
week	NN	week
of	IN	of
christmas	NNS	<unknown>
and	CC	and
NYE(lots	NNS	<unknown>
of	IN	of
overtime	NN	overtime
because	IN	because
nothing	NN	nothing
else	RB	else
to	TO	to
do	VB	do
)	)	)
I	PP	I
decided	VBD	decide
to	TO	to
treat	VB	treat
myself	PP	myself
to	TO	to
a	DT	a
luxury	NN	luxury
all-inclusive	JJ	all-inclusive
resort	NN	resort
in	IN	in
mexico	NN	<unknown>
.	SENT	.
I	PP	I
never	RB	never
been	VBN	be
to	TO	to
one	PP	one
before	IN	before
and	CC	and
despite	IN	despite
not	RB	not
having	VBG	have
anyone	NN	anyone
to	TO	to
go	VB	go
with	IN	with
,	,	,
I	PP	I
still	RB	still
went	VBD	go
.	SENT	.
I	PP	I
will	MD	will
admit	VB	admit
that	DT	that
being	NN	being
the	DT	the
only	JJ	only
person	NN	person
here	RB	here
who	WP	who
is	VBZ	be
not	RB	not
in	IN	in
a	DT	a
group	NN	group
or	CC	or
a	DT	a
couple	NN	couple
is	VBZ	be
quite	RB	quite
disheartening	VBG	dishearten
and	CC	and
there	EX	there
have	VBP	have
been	VBN	be
times	NNS	time
where	WRB	where
I	PP	I
really	RB	really
wish	VBP	wish
I	PP	I
wasnt	NN	<unknown>
so	IN	so
fucking	VBG	fuck
lonely	JJ	lonely
lol	NN	<unknown>
.	SENT	.
However	RB	however
,	,	,
overall	RB	overall
I	PP	I
've	VBP	have
had	VBD	have
a	DT	a
great	JJ	great
time	NN	time
by	IN	by
myself	PP	myself
and	CC	and
had	VBD	have
a	DT	a
really	RB	really
relaxing	JJ	relaxing
time	NN	time
reading	VBG	read
my	PP$	my
book	NN	book
on	IN	on
the	DT	the
beach	NN	beach
and	CC	and
all	PDT	all
the	DT	the
food	NN	food
and	CC	and
drinks	NNS	drink
is	VBZ	be
cool	JJ	cool
too	RB	too
.	SENT	.
I	PP	I
got	VBD	get
to	TO	to
see	VB	see
the	DT	the
mayan	NN	<unknown>
ruins	NNS	ruin
and	CC	and
even	RB	even
had	VBD	have
an	DT	an
entire	JJ	entire
pga	NN	<unknown>
golf	NN	golf
course	NN	course
to	TO	to
myself	PP	myself
!	SENT	!
(	(	(
I	PP	I
shanked	VBD	shank
all	PDT	all
my	PP$	my
balls	NNS	ball
into	IN	into
the	DT	the
lake	NN	lake
though	IN	though
haha	NN	<unknown>
)	)	)
Anyways	NP	<unknown>
,	,	,
I	PP	I
'm	VBP	be
not	RB	not
sure	JJ	sure
what	WP	what
the	DT	the
point	NN	point
of	IN	of
this	DT	this
whole	JJ	whole
thing	NN	thing
is	VBZ	be
but	CC	but
I	PP	I
didnt	VBP	<unknown>
know	VB	know
any	DT	any
other	JJ	other
community	NN	community
to	TO	to
share	VB	share
it	PP	it
with	IN	with
.	SENT	.
I	PP	I
guess	VBP	guess
I	PP	I
'm	VBP	be
saying	VBG	say
to	TO	to
treat	VB	treat
yourselves	PP	yourselves
if	IN	if
you	PP	you
are	VBP	be
able	JJ	able
.	SENT	.
It	PP	it
's	VBZ	be
surprisingly	RB	surprisingly
nice	JJ	nice
what	WP	what
it	PP	it
's	VBZ	be
like	JJ	like
to	TO	to
feel	VB	feel
like	IN	like
a	DT	a
normal	JJ	normal
human	NN	human
again	RB	again
!	SENT	!
