All	PDT	all
these	DT	these
years	NNS	year
,	,	,
I	PP	I
finally	RB	finally
feel	VBP	feel
some	DT	some
kind	NN	kind
of	IN	of
emotion—loneliness	NN	<unknown>
.	SENT	.
I	PP	I
usually	RB	usually
sit	VBP	sit
alone	RB	alone
,	,	,
eat	VB	eat
alone	RB	alone
,	,	,
and	CC	and
go	VB	go
out	RP	out
alone	RB	alone
,	,	,
but	CC	but
this	DT	this
has	VBZ	have
always	RB	always
been	VBN	be
normal	JJ	normal
for	IN	for
me	PP	me
because	IN	because
I	PP	I
’m	NN	<unknown>
used	VBN	use
to	TO	to
it	PP	it
.	SENT	.
It	PP	it
’s	VBZ	have
never	RB	never
been	VBN	be
a	DT	a
problem	NN	problem
since	IN	since
I	PP	I
’ve	VBP	have
been	VBN	be
doing	VBG	do
this	DT	this
from	IN	from
high	JJ	high
school	NN	school
to	TO	to
college	NN	college
.	SENT	.
I	PP	I
did	VBD	do
have	VB	have
a	DT	a
group	NN	group
of	IN	of
friends	NNS	friend
before	RB	before
,	,	,
but	CC	but
I	PP	I
often	RB	often
chose	VBD	choose
to	TO	to
sit	VB	sit
alone	RB	alone
because	IN	because
I	PP	I
like	IN	like
being	VBG	be
by	IN	by
myself	PP	myself
.	SENT	.
Over	IN	over
time	NN	time
,	,	,
my	PP$	my
friends	NNS	friend
understood	VBD	understand
that	IN	that
I	PP	I
preferred	VBD	prefer
being	VBG	be
alone	RB	alone
,	,	,
so	IN	so
they	PP	they
slowly	RB	slowly
left	VBD	leave
me	PP	me
out	RP	out
.	SENT	.
I	PP	I
’ve	VBP	have
also	RB	also
never	RB	never
been	VBN	be
in	IN	in
a	DT	a
relationship	NN	relationship
.	SENT	.
I	PP	I
just	RB	just
realized	VBD	realize
that	IN	that
my	PP$	my
loneliness	NN	loneliness
is	VBZ	be
n’t	RB	n't
because	IN	because
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
a	DT	a
boyfriend	NN	boyfriend
or	CC	or
friends—it	NN	<unknown>
’s	VBZ	be
because	IN	because
I	PP	I
do	VBP	do
n’t	RB	n't
have	VB	have
someone	NN	someone
to	TO	to
talk	VB	talk
to	TO	to
.	SENT	.
Maybe	RB	maybe
it	PP	it
’s	VBZ	be
because	IN	because
I	PP	I
have	VBP	have
n’t	RB	n't
talked	VBN	talk
to	TO	to
another	DT	another
human	JJ	human
being	NN	being
in	IN	in
a	DT	a
while	NN	while
.	SENT	.
