**The	JJ	<unknown>
Weight	NP	Weight
of	IN	of
Loneliness	NP	<unknown>
Amidst	NP	<unknown>
Joy**	NP	<unknown>
The	DT	the
laughter	NN	laughter
in	IN	in
the	DT	the
room	NN	room
is	VBZ	be
far	RB	far
too	RB	too
loud	JJ	loud
,	,	,
A	DT	a
hollow	JJ	hollow
ringing	NN	ringing
in	IN	in
a	DT	a
happy	JJ	happy
crowd	NN	crowd
.	SENT	.
I	PP	I
watch	VBP	watch
them	PP	them
toast	VBP	toast
to	TO	to
houses	NNS	house
,	,	,
rings	NNS	ring
,	,	,
and	CC	and
heirs	NNS	heir
,	,	,
While	IN	while
I	PP	I
sit	VBP	sit
drowning	VBG	drown
in	IN	in
my	PP$	my
own	JJ	own
despairs	NNS	despair
.	SENT	.
It	PP	it
’s	VBZ	be
not	RB	not
just	RB	just
that	IN	that
I	PP	I
’m	NN	<unknown>
standing	VBG	stand
here	RB	here
alone	RB	alone
,	,	,
It	PP	it
’s	VBZ	be
that	IN	that
I	PP	I
have	VBP	have
no	DT	no
life	NN	life
to	TO	to
call	VB	call
my	PP$	my
own	JJ	own
.	SENT	.
No	DT	no
wife	NN	wife
to	TO	to
greet	VB	greet
me	PP	me
when	WRB	when
the	DT	the
porch	NN	porch
light	NN	light
glows	NNS	glow
,	,	,
No	DT	no
girl	NN	girl
to	TO	to
love	VB	love
,	,	,
and	CC	and
god	NN	god
,	,	,
the	DT	the
envy	NN	envy
grows	VBZ	grow
.	SENT	.
**Envy	NNS	<unknown>
and	CC	and
the	DT	the
Stagnation	NN	stagnation
of	IN	of
Life**	NP	<unknown>
I	PP	I
see	VBP	see
them	PP	them
move	VB	move
in	IN	in
rhythms	NNS	rhythm
,	,	,
two	CD	two
by	IN	by
two	CD	two
,	,	,
Progressing	NN	<unknown>
in	IN	in
a	DT	a
way	NN	way
I	PP	I
’ll	RB	<unknown>
never	RB	never
do	VB	do
.	SENT	.
They	PP	they
build	VBP	build
their	PP$	their
futures	NNS	future
,	,	,
solid	JJ	solid
,	,	,
stone	NN	stone
by	IN	by
stone	NN	stone
,	,	,
While	IN	while
I	PP	I
just	RB	just
rot	VBP	rot
within	IN	within
this	DT	this
crowded	JJ	crowded
zone	NN	zone
.	SENT	.
I	PP	I
care	VBP	care
for	IN	for
them—or	NN	<unknown>
try	VBP	try
to—but	NN	<unknown>
the	DT	the
bite	NN	bite
Of	IN	of
coming	VBG	come
home	NN	home
to	TO	to
silence	VB	silence
every	DT	every
night	NN	night
Makes	VBZ	make
every	DT	every
"	``	"
congrats	NN	congrats
"	''	"
feel	VBP	feel
like	IN	like
a	DT	a
lie	NN	lie
.	SENT	.
I	PP	I
’m	NN	<unknown>
tired	VBN	tire
of	IN	of
watching	VBG	watch
life	NN	life
just	RB	just
pass	VB	pass
me	PP	me
by	IN	by
.	SENT	.
