_NAME_,Factor1,Factor2,Factor3,loaded,factor,pole
v000001,-0.010145008,0.5222890403,0.0133774978,1,fac2,1
v000002,0.0690718737,0.3207149203,0.1273695534,1,fac2,1
v000003,0.4654274986,0.0452856194,-0.198444581,1,fac1,1
v000004,0.4606073895,-0.417494206,-0.128126382,1,fac1,1
v000005,0.2772005206,0.0884668501,-0.12331126,0,,
v000006,0.1350489664,0.3324298636,-0.036274087,1,fac2,1
v000007,0.104931461,0.28778296,0.0543884788,0,,
v000008,0.4419850724,-0.09735747,-0.055872119,1,fac1,1
v000009,0.6434412843,-0.128183985,0.0960005327,1,fac1,1
v000010,-0.125773409,0.5359169498,-0.085624795,1,fac2,1
v000011,0.4234728725,0.1423208061,0.0137039682,1,fac1,1
v000012,0.3802142556,0.2631486306,0.0720787199,1,fac1,1
v000013,0.5742661207,0.0623715453,0.1157618057,1,fac1,1
v000014,0.3340084309,-0.008008149,-0.161282537,1,fac1,1
v000015,0.1284664248,0.3641783272,-0.167270683,1,fac2,1
v000016,0.4323098648,-0.028016341,-0.067417911,1,fac1,1
v000017,0.404448573,-0.348319661,-0.101299274,1,fac1,1
v000018,0.5517354133,0.1798800466,0.0161975102,1,fac1,1
v000019,0.4701680867,0.0487859946,0.1095417373,1,fac1,1
v000020,0.0953253663,0.45185248,-0.173053622,1,fac2,1
v000021,0.3227984653,0.1031083489,-0.091703125,1,fac1,1
v000022,0.2217281916,0.304742976,0.0101872637,1,fac2,1
v000023,0.1782655175,0.1382190663,0.2715393654,0,,
v000024,0.2721350998,0.258180303,0.0498860336,0,,
v000025,0.3723986981,-0.002630657,0.030982927,1,fac1,1
v000026,0.4934222733,-0.11518053,0.0862856365,1,fac1,1
v000027,0.1388367565,0.3762883036,-0.083475714,1,fac2,1
v000028,0.1867691131,0.3579254604,-0.19722813,1,fac2,1
v000029,0.2729560194,0.165702553,-0.295549812,0,,
v000030,0.3689301223,-0.07220526,0.0474566524,1,fac1,1
v000031,0.3565899989,0.1177326616,0.075632901,1,fac1,1
v000032,0.1702875942,0.3415327417,0.0436079378,1,fac2,1
v000033,0.3926973682,0.1663464139,-0.080817363,1,fac1,1
v000034,-0.014115472,0.2940547884,0.5773441601,1,fac3,1
v000035,0.3978177842,0.1646803068,0.0266292025,1,fac1,1
v000036,0.4329028648,-0.295176623,0.0229441495,1,fac1,1
v000037,0.6360432185,-0.336713577,0.0688197792,1,fac1,1
v000038,0.4242614088,0.0057446264,-0.024517233,1,fac1,1
v000039,0.4215106149,0.1001872484,-0.003553977,1,fac1,1
v000040,0.4556125544,0.2170607602,-0.046838355,1,fac1,1
v000041,0.1271207348,0.4230859829,0.1665579763,1,fac2,1
v000042,0.3293181549,-0.122311406,-0.148912443,1,fac1,1
v000043,0.2925440142,0.2243559986,-0.241144819,0,,
v000044,0.4504233577,0.2173315528,-0.135291312,1,fac1,1
v000045,0.329066545,0.0672754927,0.0572676121,1,fac1,1
v000046,0.3844010219,-0.314799763,-0.227278573,1,fac1,1
v000047,0.430881438,-0.111289817,-0.065066642,1,fac1,1
v000048,-0.201963241,0.6252476723,-0.331815162,1,fac2,1
v000049,0.6449779079,0.0233631996,0.1473302254,1,fac1,1
v000050,0.663626885,-0.32971213,-0.112394129,1,fac1,1
v000051,0.3291767486,-0.200400037,-0.241880079,1,fac1,1
v000052,-0.27326808,0.1122769163,-0.553183882,1,fac3,-1
v000053,-0.002502485,0.4829582615,-0.017814644,1,fac2,1
v000054,-0.248492261,-0.158364939,0.1793525589,0,,
v000055,0.064115445,0.4462470047,0.0632501993,1,fac2,1
v000056,0.5183407556,0.1148466698,0.1144456336,1,fac1,1
v000057,-0.004487866,0.5296165409,-0.04854112,1,fac2,1
v000058,0.2466620858,0.2585271679,-0.160208973,0,,
